text,source
"Immunotherapy is considered the most promising approach to combat cancer, especially in treating chronic lymphocytic leukemia (CLL), a slow-growing cancer of B-lymphocytes that ultimately leads to immune system failure. Mathematical modeling is recognized as a powerful tool in cancer research to examine both theoretical and practical aspects. Its absence in the study of chemoimmunotherapy for CLL inspires us to develop a simple ordinary differential equation model, drawing inspiration from the work of de Pillis & Radunskaya.",ai
"This paper introduces a novel stochastic method to identify optimal combination therapies for colon cancer's immune response. Colon cancer's dynamics are modeled using an Itô stochastic process, with its probability density function evolving according to the Fokker-Planck equation. An open-loop control optimization problem is posed to find the best combination therapies. Simulation results, using combination therapies involving the chemotherapy drug Doxorubicin and the immunotherapy drug IL-2, support the proposed framework.",ai
"Adoptive Cell Transfer therapy for cancer is actively being developed, with mathematical modeling being crucial in this field. We investigate a stochastic model created by Baar et al. in 2015 for modeling immunotherapy against melanoma skin cancer. Initially, we determine the parameters of the deterministic limit of the model using biological data on tumor growth in mice. A Nonlinear Mixed Effects Model is estimated using the Stochastic Approximation Expectation Maximization algorithm. With these estimated parameters, we return to the stochastic model and compute the likelihood of all T cells becoming exhausted during the treatment. Our findings indicate that",ai
"The challenge in designing confirmatory trials is managing uncertainties about the optimal target population for new drugs. Adaptive enrichment designs (AEDs) have been suggested to address this, allowing for data-driven selection of one or more pre-specified biomarker subpopulations during an interim analysis. However, practical case studies of AEDs are still relatively uncommon. We present the design of an AED with a binary endpoint in the dynamic setting of cancer immunotherapy for early triple-negative breast cancer. The trial was initially planned as a conventional trial but was later amended to an AED based on emerging data from outside the trial indicating",ai
"We present a pioneering data-driven framework for designing targeted gene panels to estimate exome-wide biomarkers in cancer immunotherapy. Our primary objective is to develop a generative model that captures the profile of mutations across the exome, accounting for gene- and variant type-specific mutation rates. Building upon this model, we propose a novel method to estimate biomarkers like tumour mutation burden and tumour indel burden. Our approach offers practitioners the flexibility to: Choose a targeted gene panel of a specific size and construct an estimator based solely on the selected genes. Apply our method to make predictions using an existing",ai
"Immunotherapy aims to strengthen the immune system's ability to destroy cancer cells. It works better and typically has a more favorable prognosis when more immune cells infiltrate the tumor. We investigate whether the spatial arrangement, not just the number, of immune cells in the tumor is crucial for predicting cancer recurrence. Examining past research on this topic, we present a new method using maximum entropy to measure the spatial distribution of discrete, point-like objects. We apply this method to B and T cells in images of tumor tissue from triple-negative breast cancer (TNBC) patients. Our findings show a clear difference in the",ai
"Purpose: Magnetic Resonance Imaging (MRI) of cells can track immune cells involved in immunotherapy response, revealing mechanism of action, tumor growth progression, and therapy potency.Method: CD8+ cytotoxic T cells (CTLs), CD4+CD25+FoxP3+ regulatory T cells (Tregs), and myeloid derived suppressor cells (MDSCs) were labeled with superparamagnetic iron oxide (SPIO) particles and injected into mice with HPV-based cervical cancer. Half of these mice were also vaccinated with DepoVax™, a lipid-based vaccine platform.Result",ai
"Immunotherapy could revolutionize cancer treatment. It uses the patient's immune system to combat tumor cells. CAR-T cell therapy, a prominent immunotherapy, works by removing a patient's T-cells, equipping them with an artificial receptor to recognize and target tumor cells, and then re-infusing these enhanced cells back into the patient. This method has proven effective in treating certain blood cancers like B-cell leukemias and lymphomas, but its broader use is still being explored.",ai
"Recent advancements in imaging and sequencing technologies have significantly advanced clinical lung cancer research. However, human capacity to manage and fully utilize the vast amounts of data generated is limited. Machine learning methods are crucial for integrating and analyzing these large, complex datasets, providing comprehensive characterizations of lung cancer from different data perspectives. This article surveys machine learning approaches that enhance various aspects of lung cancer diagnosis and treatment, including early detection, auxiliary diagnosis, prognosis prediction, and immunotherapy. It also discusses challenges and future prospects for machine learning applications in lung cancer.",ai
"We develop and study a mathematical model that represents the immune system's response to an avascular tumor under the influence of immunotherapy, chemotherapy, and their combinations, along with vaccine treatments. The impact of vaccine therapy is considered as a parametric change in the model. In cases of a weak immune response, neither immunotherapy nor chemotherapy leads to tumor regression below clinically detectable levels. Numerical simulations indicate that the effectiveness of vaccine therapy depends on both the tumor size and the overall health of the immune system, as well as the individual's reaction to vaccination.",ai
"Recent trials studying immunotherapy's impact on survival often expect non-proportional hazards, suggesting the need for specialized statistical methods to assess long-term benefits, rather than relying on standard log-rank tests or Cox models. While many such methods have been proposed, practical implementation guidance, especially for group-sequential designs, is lacking. This article addresses this gap. We'll discuss how the POPLAR trial, comparing immunotherapy and chemotherapy in non-small-cell lung cancer, could have been redesigned to better handle delayed effects. Then, we'll provide a step-by-step approach.",ai
"In inhomogeneous conditions, the interaction between cancer cells and immune system cells is modeled at the cellular level using thermostatted kinetic theory. Cells learn and adapt by increasing their activity during favorable interactions. The fluctuations in cell activity are regulated by a thermostat, and the direction of cell movement follows stochastic rules similar to those in dense fluids. A kinetic Monte Carlo algorithm, inspired by the direct simulation Monte Carlo (DSMC) method initially used for dilute gases, is developed to simulate this process. The evolution of an initially localized tumor is analyzed, revealing qualitatively different behaviors as the field regulating activity fluctuations decreases. When",ai
"Research on a Novel Dynamical System for Tumor-Host Interaction We explore a new dynamical system to model the interaction between a tumor and its host. The untreated tumor growth equation is grounded in non-extensive statistical mechanics and has demonstrated successful fits for exponential, Gompertz, logistic, and power-law tumor growth patterns. Our model incorporates as many cancer hallmarks as possible. We also examine the dynamic response of cancer under various therapies. By adjusting parameters and initial conditions in our model, we can predict different outcomes and identify key factors influencing tumor growth. Our findings reveal synergistic therapeutic effects of different treatments",ai
"Cell-based models offer a useful method for simulating complex systems with adaptive, resilient properties like cancer. By focusing on interactions between individual cells, they are well-suited for studying cancer therapies that target single-cell dynamics. Here, we suggest these models can also be used to examine the time evolution of cancer imaging biomarkers. We present a cellular automata model for tumor growth and three therapies - chemotherapy, radiotherapy, and immunotherapy, based on established modeling practices. The model produces a sequence of tumor images.",ai
"Employing both self-non-self and danger theories enhances our comprehension of immune system functionality. Analogy: Like a police force responding to danger signals and suspicious activities, the immune system reacts to both threats and foreign elements. For low zone tolerance, immunotherapy should be combined with other cancer treatments, such as chemotherapy and/or radiotherapy, to effectively eliminate tumors. Fractional order differential equations are more appropriate than conventional integer order differential equations. An example of two immune effectors targeting an antigen using fractional order dynamics is provided.",ai
