text,source
"This talk aims to explain extra dimensions to non-experts in simple terms. String theories, which are more fundamental, suggest that there could be 10 or 11 dimensions, not just the 4 (3 spatial + 1 time) we experience. These extra dimensions are tiny and curled up, and they have 'branes' where forces like gravity and electromagnetism live. The size of these tiny dimensions affects how strong gravity is in our large-scale world. We can't see these extra dimensions directly, but we might spot signs of",ai
"We examine current states of low-scale string theories and large extra-dimensions. We survey various string theory implementations, discuss key challenges, and summarize current bounds from collider experiments on potential extra-dimension sizes.",ai
"String theory's noncommutative space coordinates, in a large extra dimension hierarchy problem solution, lead to examined consequences: dimension stability and graviton absorption within the brane.",ai
"The Event Horizon Telescope (EHT) observations may hold hints about extra dimensions. To find these clues, we examine the shadow of a rotating 5D black string in General Relativity. Unlike studying the 4D theory's shadow, we focus on how photons move along the extra dimension 'z', with a conserved momentum 'P_z' acting as an effective mass. This 'P_z' widens the photon regions and the black string's shadow slightly, but doesn't significantly alter its shape. Observations of M87* and SgrA* by EHT can disprove an",ai
"This paper aims to connect seemingly unrelated concepts: zero-point length, extra dimensions, and string T-duality. It introduces a modified Kaluza-Klein theory that bridges high-energy string theory and low-energy quantum field theory. Here, zero-point length serves as a four-dimensional ""virtual memory"" of compact extra-dimensions' scale, determined by T-duality from string theory. From a low-energy perspective, this theory sets a minimal length scale, proportional to the square root of the string slope (√α'). This provides a link between the ultra-relativistic string domain and low-energy physics.",ai
"String theory suggests our universe might have more dimensions than the familiar 3D space and 1D time. These extra dimensions could be tightly curled, making them hard to detect. This study explores how particles scatter in the presence of an extra, compact space dimension. We use a simplified model where a particle beam scatters due to a one-dimensional potential. Our findings show that the probability of particles being incident, reflected, or transmitted holds clues about the existence of extra dimensions.",ai
"Current research on black strings, their instability, and extra dimensions is ongoing. While many theories exist, the fate of black strings with fewer extra dimensions remains unclear. Starting with a 5D uniform black string, we've found that observations of M87* and SgrA* by the Event Horizon Telescope (EHT) can eliminate the possibility of an infinitely long extra dimension. Additionally, these observations can set a limit on the size of a compact extra dimension, much smaller than previously thought",ai
"String theory, which includes quantum gravity, typically demands extra spacetime dimensions beyond the usual 3+1. However, this might be due to imposing a static, flat background space. Instead, consider 3+1 dimensional quantum gravity approaches using discrete, simple shapes (simplicial). These naturally exhibit string-like properties, intertwined with their evolving space. Thus, if these theories work, they might essentially contain consistent, background-independent string theories.",ai
"String theory demands extra dimensions, but they might not be real. In certain models, these extra dimensions are not physical and don't show up in low-energy physics. I suggest that self-duality in gravity's quantum space might explain this.",ai
"We examine how dilaton tadpoles affect the geometry of non-supersymmetric strings. Using a T-dual version of the Sugimoto model, we find warped solutions and explore the possibility of large extra dimensions. Our study suggests a dynamic method to reduce the number of flat, non-compact dimensions in non-supersymmetric string theories.",ai
"In extended versions of the 3+1 FRW model with extra dimensions, we find the equations describing cosmic string motion. From these, we develop a modified Velocity-dependent One-Scale (VOS) model for string network evolution. We apply this model to two scenarios: a higher-dimensional isotropic $D+1$ FRW model, and a 3+1 FRW model with static, flat extra dimensions. In the first scenario, the string network fails to reach a stable state due to the decreasing rate of string intersections as dimensionality increases (D>3). However, in the second",ai
"I suggest that string creation might have contributed to reheating the universe post-inflation. For four-dimensional strings derived from branes wrapping extra-dimensional cycles, effective field theory estimates indicate that a modest drop in string tension, just a couple of orders below the Planck scale, could allow string creation to significantly drain energy from the inflaton field's coherent motion. Additionally, I note a unique four-dimensional scenario involving only Neveu-Schwarz fields, which could facilitate studying closed string creation directly on the worldsheet",ai
"To make string theory relevant to our world, we must consistently stabilize various moduli fields that arise in its compactifications. This paper introduces a method to stabilize the dilaton within string gas cosmology, a framework already proven effective for stabilizing extra dimensions' volume and shape. Building on prior work showing massless F-string modes' role in stabilizing extra dimensions after dilaton stabilization, we find that the string gas cosmology of these modes also consistently stabilizes the dilaton, given the stabilization of extra dimensions. We then extend this to higher dimensions.",ai
"We suggest a method to address the horizon and entropy issues in standard cosmology without relying on inflation. Our approach uses brane gases, extra dimensions, and a confining potential driven by string gas effects that dominates at string-scale brane separations. We begin with a uniform, isotropic hot brane gas in a space where all spatial dimensions are at the string scale. The extra dimensions that become internal are folded into an orbifold. The hot brane gas initiates this process.",ai
"Theory: Extra dimensions and light string scales could make neutrinos' magnetic moment large. High-energy neutrino reactions can best test this. We looked at neutrino-electron scattering and supernova energy loss. For a typical neutrino-bulk neutrino coupling, supernovae need more than one extra dimension (n > 1).",ai
"Strings & Motivations: Heterotic strings can compactify to large volumes. This leads to gauge coupling unification and supersymmetry breaking. M-theory & Strings: M-theory on S^1/Z_2 × Calabi-Yau leads to Type I/I' string theories, which have D-branes. These theories can have extra-large dimensions and low-scale strings. Type II Theories: Type IIA and IIB strings have unique features like tiny couplings and large dimensions. They are related to heterotic strings via dualities.",ai
"In string gas cosmology, tiny strings stabilize extra dimensions. In the matter era, dust pressure can cause these dimensions to oscillate, leading to accelerating expansion in our visible dimensions, even without a cosmological constant. This model matches observed cosmic acceleration.",ai
"String theory offers a consistent way to study theories with extra dimensions, revealing their ultraviolet behavior, with or without low-energy supersymmetry.",ai
"We examine how extra dimensions impact gravity waves from cosmic strings. Additional dimensions smooth out sharp points (cusps) and decrease their likelihood. Considering these effects, we recalculate the gravity wave bursts, finding a possible significant reduction in their intensity.",ai
"In string theory, breaking supersymmetry can naturally create extra dimensions, tiny but measurable (around 10^-16 cm), and strings at a TeV scale could solve the gauge hierarchy problem, offering an alternative to softly broken supersymmetry or technicolor. This review explores consistent string theories with large compactified volumes and low string tensions, and discusses their main physical implications.",ai
"In theories with many extra dimensions and gravity at the TeV scale, particles called flavons may exist alongside gravitons. These flavons are part of a theory that explains tiny fermion masses. They interact with the Higgs field, potentially creating new ways for Higgs bosons to be produced. We investigate these novel Higgs signals, including real flavon emission and virtual flavon exchange. If flavons and gravitons feel the same number of extra dimensions, these signals could be as useful as studying graviton production for probing the string scale.",ai
"String theory's duality symmetries show how wrapping strings around objects (branes) or wrapping branes around shapes (tori) can create extra spatial dimensions. Wrapping branes around time-shaped tori can even generate extra time dimensions. This indicates that moving objects through space (momentum) and wrapping objects around shapes (wrapping modes) are equally important. Therefore, M-theory shouldn't be confined to a space-time of fixed dimensions or structure.",ai
"In certain large N limits, two 4D strongly coupled superconformal field theories, when on the Higgs branch, transform into a 6D (2,0) theory and (1,1) little string theory. We've identified the states generating the extra dimensions and string winding modes. Using orbifold techniques and string dualities, we've proven this equivalence, and we've also explored M-theory deconstructions.",ai
"We propose a straightforward model for stopping the late-time expansion of extra dimensions. The key idea is that structures called branes, which wrap around extra dimensions (as allowed by string theory), can resist expansion due to their 'winding' properties. Conversely, momentum modes could potentially drive expansion. The balance between these two forces leads to dynamic stabilization. We use a concept called 'democratic wrapping', where all possible wrapping configurations are considered in a given number of extra dimensions. To simplify our study, we assumed a symmetric distribution where the total extra dimensions are",ai
"String theory, a top contender for quantum gravity, suggests our universe has extra hidden dimensions, possibly compact. It also hints at a fundamental length scale where spacetime's smoothness breaks down. Similarly, some theories propose a minimum length in four-dimensional spacetime, acting as a natural cutoff for very small distances. We've unified these seemingly disparate ideas by modifying Kaluza-Klein theory, a framework that combines gravity and electromagnetism, to incorporate a zero-point length, extra dimensions, and string T-duality - the interchangeability of small and large distances in string theory.",ai
"In string gas cosmology, extra dimensions are stabilized by a string gas. In the matter-dominated era, competition between expanding extra dimensions (pushed by matter) and contracting extra dimensions (pulled by the string gas) can cause oscillations and acceleration in our visible dimensions. We tested this theory using supernova data, ensuring the string gas's energy density matches Big Bang Nucleosynthesis constraints. The model fits the Union supernova data well, but poorly fits the ESSENCE data.",ai
