text,source
"We show that a modified version of the CRISPRassociated Cas9 protein (dCas9), lacking endonuclease activity, when fused to the photoconvertible fluorescence protein mEos3.1 (dCas9mEos3), enables the resolution of subdiffraction limited features of repetitive gene elements. This approach offers a novel way to study highorder chromatin organization at these sites.",ai
"The feasibility of population control using artificial gene drives, which skew inheritance in favor of their own transmission, is increasing with advancements in CRISPRCas gene editing. While gene drives can potentially be halted, proposed ""antidotes"" or ""brakes"" have thus far been examined only in wellmixed populations. In this study, we explore a reactiondiffusion model representing the release of a gene drive (with fitness $1a$) and a brake (with fitness $1b$, where $b \leq a$) into a wildtype population (with fitness $1",ai
"Cancer research using genomewide screening methods yields lengthy lists of potential genes, which demand substantial analysis for biological understanding and ranking for further investigation. Investigating these gene lists is often a substantial and timeconsuming task, with biologists typically combining results from various bioinformatics resources to understand their relevance to cancer. To simplify and bolster this process, we've developed oncoEnrichR, a versatile bioinformatics tool enabling cancer researchers to thoroughly analyze a given gene list across multiple aspects of cancer relevance. Unlike general gene set analysis tools, on",ai
"Bacteria and archaea have developed an adaptable, inheritable immune mechanism, the CRISPRCas system, which detects and safeguards against viral or plasmid invaders. This system integrates short foreign DNA or RNA sequences, termed ""spacers,"" into its CRISPR array, serving as a historical record of bacterial and phage coevolution. To investigate the dynamics of this coevolution, we employ a physical model that accounts for stochastic evolutionary changes over time. Our study emphasizes the influence of mutation and recombination on bacterial and phage evolution and evasion strategies. We explore the impact of",ai
"AMPactivated protein kinase (AMPK), a vital energy sensor, governs signaling pathways implicated in pathologies like metabolic disorders and cancer. The burgeoning recognition of AMPK's role has fueled extensive research into novel pharmacological AMPK activators. To meticulously investigate AMPK's function and the specificity and efficacy of these activators in cellular models, tools for genetic AMPK inactivation are indispensable. We present here methodologies for genetic ablation of AMPK $\alpha1/ \alpha2$ catalytic subunits in human",ai
"We examine and discuss the benefits of panediting, a intricate process of mitochondrial gene expression in kinetoplastids. The swift propagation and conservation of panediting appears to be driven by its concurrent fragment scattering. This dispersal strategy safeguards temporarily unexpressed mitochondrial genes from loss during intense intraspecific competition, by connecting nonexpressed fragments to stillrequired portions. We developed a mathematical model to quantify the protective effect of such fragment association against gene loss due to the absence of selection. This model provides ranges of values for parameters such as scrambling extent, population size,",ai
"We approximate the optimal number of spacers in a CRISPR array of a bacterium to maximize its defense against viral attacks. The optimality arises from a balance between two opposing trends: insufficient distinct spacers leave the bacterium susceptible to viruses with mutated corresponding protospacers, while an excessive variety of spacers dilutes the abundance of CRISPR complexes equipped with the most recent and effective spacers. Initially, we assess the optimal spacer count in a simplified scenario involving a single viral species, and subsequently, we explore a more general case with multiple viral species. Our findings reveal that parameters such",ai
"Currently, the CRISPR (clustered regularly interspaced short palindromic repeats) segment in bacterial and archaeal genomes is recognized as an adaptive immune system component. Building upon prior research on CRISPR array evolution, which gave rise to the ordered independent loss model by Kupczok and Bollback (2013), we analyze the spacers (segments between repeats). In this model, new spacers integrate into a CRISPR array at a rate of $\theta$ at the leader end, while all spacers are lost",ai
"**CRISPRCas is a repurposed adaptive immune system used for genetic engineering, where the Cas9 protein recognizes a 25bp DNA motif, termed the PAM, and a guide crRNA binds to and cleaves a target DNA sequence. Although offtarget activity is unfavorable, it occurs due to beneficial crossreactivity in the original bacterial immune system. To investigate the specificity of this innate immune mechanism, a stochastic model of the target recognition reaction was developed. Testing CRISPR systems with Cas9 proteins recognizing PAMs of different lengths on both self and phage DNA, the model revealed that the energy",ai
"CRISPR, a recently discovered prokaryotic immune system, functions by integrating viral genetic material into bacterial and archaeal genomes, conferring resistance to subsequent infections by related viruses. The interplay between prokaryotes and viruses presents a fascinating evolutionary biology puzzle. In this study, we present a compelling phase diagram of virus extinction probability, which proves more intricate than that of the classic predatorprey model. As CRISPR incorporates viral DNA, viruses face evolutionary pressure to evade recognition by the system. Intriguingly, when bacteria exhibit a low rate of deleting spacers, a novel parameter region emerges",ai
